original_reviewerID	mapped_user_id
A00414041RD0BXM6WK0GX	0
A00473363TJ8YSZ3YAGG9	1
A00700212KB3K0MVESPIY	2
A0078719IR14X3NNUG0F	3
A01198201H0E3GHV2Z17I	4
A02155413BVL8D0G7X6DN	5
A02849582PREZYNEI31CV	6
A029527620Q3SK5XW16RR	7
A03236882LUP4ARMDDMXU	8
A03364251DGXSGA9PSR99	9
A0388397363MZHRU6ALSX	10
A042274212BJJVOBS4Q85	11
A04371222UWPCRS81JO2Z	12
A0459829SI5B5WIOZZHX	13
A0508779FEO1DUNOSQNX	14
A05306962T0DL4FS2RA7L	15
A059547920Q3LZVFHLPI3	16
A0614215ICIJ7IVV472R	17
A06298653TJ91G7R7MD6R	18
A0647567NOSE5H95OBQ2	19
A06586901ZOUBJS3R268N	20
A0733801U845JJGV4H8V	21
A07420391OVT9BFTVMUOI	22
A08409921GVN7C8RD97CV	23
A0864963DOAY7LXGS5I6	24
A090214335ZYBWI945UJI	25
A0908131Z7BWYSMRQ16T	26
A09149312G3TQJJF59GC8	27
A09386383518NVR7RSA4F	28
A099766128UI0NCS98N1E	29
A100E9O4Z9BP4Q	30
A100L918633LUO	31
A100LIFNJYZWW7	32
A100UD67AHFODS	33
A100VQNP6I54HS	34
A100WO06OQR8BQ	35
A100X30Z2GCTEM	36
A100ZQDV7L8PVV	37
A1010QRG4BH51B	38
A101E37WFPUEII	39
A101Q13OPIP7ZR	40
A10207079F09W5HTL0Q6	41
A10220YORA6MUU	42
A1022QCIW8Z720	43
A102JNFLL0KW7I	44
A10315HN03CRA3	45
A103584DULBU65	46
A103979529MRJY0U56QI4	47
A103BJIOJSDJL1	48
A103EB0NUZIX2S	49
A103U3KR4L2ZXT	50
A103WXT3CHVY0H	51
A103ZVTCQUF348	52
A1043CGOMHVZQ7	53
A10471B8ZIMVS	54
A1047EDJ84IMAS	55
A1047P9FLHTDZJ	56
A104BMR0QRIDSZ	57
A1051DBTLWP5A2	58
A1052V04GOA7RV	59
A1057ZABSPSAXE	60
A1059MG8KDS2AL	61
A105R38CAPDBGU	62
A105S56ODHGJEK	63
A105TMLESHR0Y4	64
A105TOJ6LTVMBG	65
A105Y470S2O46U	66
A1061GUVDRBQRS	67
A106E0KJW7C13K	68
A106E1N0ZQ4D9W	69
A106MNO7PYG1WL	70
A106Q1A6LGU4DP	71
A106YK8JBW1JBP	72
A1076UA29SK59D	73
A1078L9AXZRGT7	74
A107H3XGCV6Y4Q	75
A107VKWCI8SN8G	76
A1080RZ0OYO8WH	77
A1084V41BP7RDH	78
A1087Y8RJ4D422	79
A108JE8E0CK1G3	80
A108S8GV9IJJ96	81
A108VB7LEU7M6W	82
A108W62SUWQCL4	83
A108XP24UESKSV	84
A1093UZ147FN0Q	85
A109R5OGVEV96V	86
A109STTUEOR3EC	87
A10A4ZC3ME91O	88
A10AIIMNYUD5AG	89
A10ASGFTEHUCB9	90
A10AUL6XCCDWA0	91
A10AVFDDU87KJ4	92
A10BD0288TGRVS	93
A10BK26EN1YSZT	94
A10BSS8EZFU0RZ	95
A10C5CJK1YKGV0	96
A10CF04CJZC05F	97
A10CIHFHGR4IPJ	98
A10CQZQH4IAJES	99
A10CRH1O1H6RSV	100
A10DNVWJ062KL2	101
A10DUS7U69JA5F	102
A10E3F50DIUJEE	103
A10E3V94MQ9IVU	104
A10EA0CWQ2AC58	105
A10EACLLH0JMSZ	106
A10EERGL3OHTJ7	107
A10EO39J34O6JN	108
A10F0D8JQU9WBB	109
A10FW892S59ABJ	110
A10FYJ0D5Q623M	111
A10G136JEISLVR	112
A10G2HJL0VSWET	113
A10G4BPT5MGBHY	114
A10GUAYV0VENIN	115
A10H5JQ2PR8JCM	116
A10HIUT4KSJEHJ	117
A10HPK4B1CL4TA	118
A10HR0ECYKDNTN	119
A10HUY256SGEQI	120
A10HXCOBSYFYKR	121
A10HZRDNCSKJRS	122
A10IAY9C15Q2VP	123
A10IHU4CK45H21	124
A10IKD1NJ5UYYP	125
A10IKHRUSMKP46	126
A10IQ4GEO8SB8D	127
A10IQD569MWNGU	128
A10IRGY2RUZ6MW	129
A10JWU28FPMMVR	130
A10K606KWGOA2Y	131
A10K67M5ROMLWP	132
A10L198Q8ZKC0H	133
A10L8D3333PL2F	134
A10LDN5UFRET13	135
A10LKWO19E9V2G	136
A10LWFKVC21F82	137
A10M94ASQEBL56	138
A10MBN6W7JESPQ	139
A10MHMG8RKBMT8	140
A10MM3NCDLDX3G	141
A10N19OL0CKYDV	142
A10N31SPQR63OT	143
A10N9KD0QEWECL	144
A10NI364NU4YKK	145
A10NJPRAGAWRCA	146
A10NSVPPDIW4XU	147
A10O9LX8PH1J8M	148
A10OCMJW1NK4G9	149
A10OTOBL3K2BHE	150
A10P929XNMXK17	151
A10PEXB6XAQ5XF	152
A10PUMFCPP2SXV	153
A10Q5LBB5HQ0BJ	154
A10QJVO4NWCL74	155
A10QO5HFPTSPPQ	156
A10QQ3G5BEUSGQ	157
A10QRHT3U49611	158
A10R9LB4QJNG5X	159
A10RGDOWU984U1	160
A10RZY47RBFGMR	161
A10S8JTRCL7BR	162
A10SQR3U7RMY8C	163
A10SRTOLM9TPKR	164
A10T4A0EV3YH6U	165
A10T7C2Y6O3MO2	166
A10TI8SX6OKJ23	167
A10TUI682RK6Q0	168
A10TXIPVNH5HPE	169
A10UA7M5C1W7UM	170
A10UBA4R9UHUCT	171
A10UCR7QHTF29U	172
A10UEHOMQTDBIH	173
A10UH6NKDBE2Z	174
A10UHQH1YL5Q6B	175
A10VAHD8LGD00K	176
A10VG24PB5AB22	177
A10VOYIXJZCI1G	178
A10W47A4PNPR6Z	179
A10WDRM4UQJ9EO	180
A10WXB2BWNCBEX	181
A10X20OIBA96ND	182
A10X8YSZ83R2AJ	183
A10XDLC8AII00M	184
A10Y058K7B96C6	185
A10Y098YW7HDZJ	186
A10Y34T44VEYSN	187
A10Y59HW4O47N0	188
A10Y5RD8QNMHEZ	189
A10Y9LFN8CSFH	190
A10YFB0VUK1JOP	191
A10YNQ7SPY4X63	192
A10YWQ4AAAE29O	193
A10Z57SSF7FEAN	194
A10Z8FC0SMU5VQ	195
A10ZBR6O8S8OCY	196
A10ZDZ2LVU7U26	197
A10ZIZW2JBYGJR	198
A10ZWCAQW773O2	199
A10ZX30O697DNH	200
A10ZXOPZ4Y7F4I	201
A10ZZ8Q4OU3NVK	202
A1105ZFMT1RC46	203
A110OOYMFXQPDA	204
A110PQTEI6THU7	205
A110RS7QL8Q1UX	206
A110T9RC4SUJX4	207
A111F7BN1GBXXN	208
A111PH76SCPYCK	209
A111QOKZEPWN4U	210
A111RSHNLH2EHN	211
A1121T1I50825Z	212
A112N3KWBSU273	213
A112R98UWXV9AO	214
A112TFLXGBF6NI	215
A113OP9GM4MGLA	216
A113TH9LBSNFFF	217
A113VGLEOCAE9G	218
A114DXU8YSRV1V	219
A114MZKUK199DE	220
A11533OL7CCDPV	221
A1153MLFTUDPSJ	222
A1155GLLKOE8NJ	223
A115HT86H2I79N	224
A115X7RPG5SW1Q	225
A116K2CNNDQ1LF	226
A116MQPCVOV66H	227
A116O8Y1KIU1M	228
A116VGNX84YL7I	229
A116ZS3G8HEKQN	230
A117FC349SBSFK	231
A117FYENI6RSPP	232
A117Y5J7LC8SMP	233
A1181TKBXURMN2	234
A118405OGNKRH1	235
A1189D8IRP5I4A	236
A118AEVQ81QLG0	237
A1194DT3HBZNWG	238
A1194J1H29WSV	239
A119GHIXLG4R2A	240
A119NM7G6VYQM3	241
A119RW19UWK7PH	242
A11A8EPPMQO479	243
A11AP4QERYPCLK	244
A11B8JNLONAAPU	245
A11BCJJG91KVOY	246
A11BY6U6GEU04C	247
A11C2ZX984GQW6	248
A11CRJ5LQ5SYNY	249
A11CSKLRK1APKU	250
A11DKW1I1HFWKY	251
A11DLWWD0138XT	252
A11E97POD1SB80	253
A11EIDY6DD40CS	254
A11ETVT8EYHOW2	255
A11EXFO14WEJM1	256
A11F3YONMF67ML	257
A11F5KW6QXHL8L	258
A11FDARSFVKU3C	259
A11FX8HL2ANK6T	260
A11FZ5BOXI32BB	261
A11GJ01Z12A1LA	262
A11GKF6NQUFJLA	263
A11GTC07Y5AMQL	264
A11HLJWFG5DO8K	265
A11HWUM8WCI6EE	266
A11HXOFCYE85QE	267
A11I1I9QLMAM1A	268
A11IE9721EPH5Y	269
A11IK5T1T7OXZK	270
A11IS5O9BGZY4G	271
A11IXJ8M1JO296	272
A11J1FHCK5U06J	273
A11J2DFIKBZORN	274
A11J371X073P2D	275
A11J3MU2WKOEWI	276
A11JI4CX8C84OT	277
A11JOUAIMPY3XO	278
A11JWVCT7N93NH	279
A11JXVZN2QCAMZ	280
A11K70GWSB7A5Z	281
A11KIUCGOCN4AO	282
A11KKEOCPC0XEX	283
A11KOKDIY4SAJW	284
A11KTJR5RL1F6	285
A11L85WKR81T06	286
A11LC938XF35XN	287
A11LGC72DJCXXZ	288
A11LJ8I7OAG5R6	289
A11LNPG39A2ZV4	290
A11LNY2OLQSUSV	291
A11LZHTXDHSHA8	292
A11MKQ6JX6OBXV	293
A11MXYELJD4Y7	294
A11NX3HE31BYJC	295
A11NYM9RGQ95JA	296
A11ORZY2L0CZCJ	297
A11OTLEDSW8ZXD	298
A11PI8JNC3932W	299
A11PK2MO25K5QW	300
A11PKTC7A95ST	301
A11QB5XLY7WP2N	302
A11QCKEY5MCRX2	303
A11QQBCJDEVW6G	304
A11R627QB6F5A2	305
A11R9DNW0G9MO7	306
A11RD2MRP3VE5K	307
A11RGJ7FG362MJ	308
A11RWZH7LLY287	309
A11SPSEM08VIXX	310
A11SWG9T60IQH8	311
A11SXJ2H7IC8J7	312
A11T2FP0DNXRJZ	313
A11T2JHYTW3CJH	314
A11TX2PRDMPP3W	315
A11U4AI9V0J4R9	316
A11U6Y77V1ZVSR	317
A11UHLTO0PAIWR	318
A11UP4R7BO74AD	319
A11UWNENP9S93E	320
A11VSA5HX18KSF	321
A11W10GPQ92NBF	322
A11W2ZN3VGJOAR	323
A11WYHDB1YEZOX	324
A11X1K0H5TXY0V	325
A11X3SZ6LESUM2	326
A11XAIFA10G7TS	327
A11XGZ5H4NOQTN	328
A11XJ3LVXYP5WX	329
A11XT24G3PZ8CQ	330
A11Y1NMAMM89HA	331
A11Y3V1MSQ5Q1X	332
A11YC63APLB2K9	333
A11YIF24IL4ALA	334
A11Z1D8Q5VNEOM	335
A11ZA31I1KIIZ1	336
A11ZAHAIYB2455	337
A11ZKKYHH2S68V	338
A12066XBJS20IF	339
A120DESVO4V0FX	340
A120OS5OILQK3G	341
A120Q6DZD4YUOL	342
A120RH58WVY4W6	343
A12139Q36LJGJW	344
A121KMFNEWZHYW	345
A121Z2MIFURY0O	346
A122QASAEOTNM8	347
A122SFGLAHQLSJ	348
A122UK9IT8QSRE	349
A122UXEICQD9C7	350
A122UYV2AMYGN0	351
A1235J5HSC60MW	352
A1235VEPYG7KG9	353
A123KV8N20EQUR	354
A123O9Q0UASKP2	355
